time,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,horizontal_range,transmission_loss_db
0.0,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.349659316702288
0.01,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.3495787470286573
0.02,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.3495787470286573
0.03,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.3499259593778894
0.04,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.3499259593778894
0.05,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.3499259593778894
0.06,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.3485399568798506
0.07,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.349960933643604
0.08,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.349960933643604
0.09,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.349960933643604
0.1,0.0,0.0,200.0,500.0,0.0,200.0,500.0,2.349960933643604
