time,x,y,z,Roll,Pitch,Yaw
0.0,500.0,0.0,200.0,0.0,0.0,0.0
0.01,500.0,0.0,200.0,0.0,0.0,0.0
0.02,500.0,0.0,200.0,0.0,0.0,0.0
0.03,500.0,0.0,200.0,0.0,0.0,0.0
0.04,500.0,0.0,200.0,0.0,0.0,0.0
0.05,500.0,0.0,200.0,0.0,0.0,0.0
0.06,500.0,0.0,200.0,0.0,0.0,0.0
0.07,500.0,0.0,200.0,0.0,0.0,0.0
0.08,500.0,0.0,200.0,0.0,0.0,0.0
0.09,500.0,0.0,200.0,0.0,0.0,0.0
0.1,500.0,0.0,200.0,0.0,0.0,0.0
0.11,500.0,0.0,200.0,0.0,0.0,0.0
0.12,500.0,0.0,200.0,0.0,0.0,0.0
0.13,500.0,0.0,200.0,0.0,0.0,0.0
0.14,500.0,0.0,200.0,0.0,0.0,0.0
0.15,500.0,0.0,200.0,0.0,0.0,0.0
0.16,500.0,0.0,200.0,0.0,0.0,0.0
0.17,500.0,0.0,200.0,0.0,0.0,0.0
0.18,500.0,0.0,200.0,0.0,0.0,0.0
0.19,500.0,0.0,200.0,0.0,0.0,0.0
0.2,500.0,0.0,200.0,0.0,0.0,0.0
0.21,500.0,0.0,200.0,0.0,0.0,0.0
0.22,500.0,0.0,200.0,0.0,0.0,0.0
0.23,500.0,0.0,200.0,0.0,0.0,0.0
0.24,500.0,0.0,200.0,0.0,0.0,0.0
0.25,500.0,0.0,200.0,0.0,0.0,0.0
0.26,500.0,0.0,200.0,0.0,0.0,0.0
0.27,500.0,0.0,200.0,0.0,0.0,0.0
0.28,500.0,0.0,200.0,0.0,0.0,0.0
0.29,500.0,0.0,200.0,0.0,0.0,0.0
0.3,500.0,0.0,200.0,0.0,0.0,0.0
0.31,500.0,0.0,200.0,0.0,0.0,0.0
0.32,500.0,0.0,200.0,0.0,0.0,0.0
0.33,500.0,0.0,200.0,0.0,0.0,0.0
0.34,500.0,0.0,200.0,0.0,0.0,0.0
0.35000000000000003,500.0,0.0,200.0,0.0,0.0,0.0
0.36,500.0,0.0,200.0,0.0,0.0,0.0
0.37,500.0,0.0,200.0,0.0,0.0,0.0
0.38,500.0,0.0,200.0,0.0,0.0,0.0
0.39,500.0,0.0,200.0,0.0,0.0,0.0
0.4,500.0,0.0,200.0,0.0,0.0,0.0
0.41000000000000003,500.0,0.0,200.0,0.0,0.0,0.0
0.42,500.0,0.0,200.0,0.0,0.0,0.0
0.43,500.0,0.0,200.0,0.0,0.0,0.0
0.44,500.0,0.0,200.0,0.0,0.0,0.0
0.45,500.0,0.0,200.0,0.0,0.0,0.0
0.46,500.0,0.0,200.0,0.0,0.0,0.0
0.47000000000000003,500.0,0.0,200.0,0.0,0.0,0.0
0.48,500.0,0.0,200.0,0.0,0.0,0.0
0.49,500.0,0.0,200.0,0.0,0.0,0.0
0.5,500.0,0.0,200.0,0.0,0.0,0.0
0.51,500.0,0.0,200.0,0.0,0.0,0.0
0.52,500.0,0.0,200.0,0.0,0.0,0.0
0.53,500.0,0.0,200.0,0.0,0.0,0.0
0.54,500.0,0.0,200.0,0.0,0.0,0.0
0.55,500.0,0.0,200.0,0.0,0.0,0.0
0.56,500.0,0.0,200.0,0.0,0.0,0.0
0.5700000000000001,500.0,0.0,200.0,0.0,0.0,0.0
0.58,500.0,0.0,200.0,0.0,0.0,0.0
0.59,500.0,0.0,200.0,0.0,0.0,0.0
0.6,500.0,0.0,200.0,0.0,0.0,0.0
0.61,500.0,0.0,200.0,0.0,0.0,0.0
0.62,500.0,0.0,200.0,0.0,0.0,0.0
0.63,500.0,0.0,200.0,0.0,0.0,0.0
0.64,500.0,0.0,200.0,0.0,0.0,0.0
0.65,500.0,0.0,200.0,0.0,0.0,0.0
0.66,500.0,0.0,200.0,0.0,0.0,0.0
0.67,500.0,0.0,200.0,0.0,0.0,0.0
0.68,500.0,0.0,200.0,0.0,0.0,0.0
0.6900000000000001,500.0,0.0,200.0,0.0,0.0,0.0
0.7000000000000001,500.0,0.0,200.0,0.0,0.0,0.0
0.71,500.0,0.0,200.0,0.0,0.0,0.0
